                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7211,                 5.1416,                0.36276,                 1.7174,                 1.9282,                0.54057,                0.58854,                 0.4502,                0.26087,                0.38795,                0.32275,                0.28716,                0.12529,                 1.7712,                 4.5938,                0.19206,                 1.6735,                 2.3074,             0.00099368,             0.00099368,             0.00099368
                     34,                 1.6962,                 5.2606,                0.36705,                 1.6989,                 1.9202,                0.46405,                0.56472,                0.45366,                 0.2673,                0.34736,                0.38495,                0.33135,                0.14818,                 1.7706,                 4.3638,                0.20188,                 1.6829,                 2.2603,             0.00099001,             0.00099001,             0.00099001
                     35,                 1.7093,                 5.0604,                0.37186,                 1.7547,                  1.938,                0.51836,                0.49244,                0.42317,                0.25238,                0.24879,                0.42813,                0.30606,                0.13235,                 1.6434,                 4.6127,                0.22352,                 1.7226,                  2.174,             0.00098635,             0.00098635,             0.00098635
                     36,                 1.6909,                 4.8603,                0.35702,                 1.7041,                 1.9078,                0.43843,                0.50364,                0.41846,                0.23729,                0.35088,                0.43268,                0.33752,                0.13795,                 1.6502,                 4.3754,                0.17354,                 1.6293,                 2.1526,             0.00098268,             0.00098268,             0.00098268
                     37,                 1.6465,                 4.8592,                0.35596,                 1.6842,                 1.8903,                0.57591,                0.55541,                0.56236,                0.28101,                0.49968,                0.44859,                0.43765,                0.15045,                 1.6696,                 4.4218,                0.20228,                 1.6358,                 2.2182,             0.00097901,             0.00097901,             0.00097901
                     38,                 1.6744,                  4.672,                0.35371,                 1.6499,                 1.9037,                0.51772,                 0.5649,                0.48778,                0.28655,                0.39241,                0.44249,                0.35962,                0.16403,                 1.6313,                 4.2827,                0.17926,                 1.6017,                 2.0897,             0.00097535,             0.00097535,             0.00097535
                     39,                 1.6583,                 4.7849,                0.35108,                 1.6545,                 1.8887,                0.42082,                0.57959,                0.45487,                0.25834,                0.41441,                 0.5395,                0.46488,                0.18769,                 1.7622,                 4.0547,                0.18738,                 1.6267,                 2.3526,             0.00097168,             0.00097168,             0.00097168
                     40,                 1.6317,                 4.5723,                0.34395,                 1.6235,                 1.8659,                0.57604,                 0.5838,                0.51117,                0.28057,                0.40727,                0.45837,                0.34986,                0.18295,                 1.6142,                 4.0723,                0.17368,                 1.5506,                 2.1177,             0.00096801,             0.00096801,             0.00096801
                     41,                 1.6785,                 4.6754,                0.34593,                 1.6669,                 1.9001,                0.44736,                0.58218,                0.46199,                0.28539,                0.70409,                0.42813,                0.42196,                0.17964,                 1.6059,                 4.2604,                0.17015,                 1.6365,                 2.1064,             0.00096435,             0.00096435,             0.00096435
                     42,                 1.6159,                  4.674,                0.34379,                 1.6153,                 1.8591,                0.52582,                0.52573,                0.50411,                0.28471,                0.49407,                0.44935,                0.39767,                0.17693,                  1.575,                 4.1408,                0.17032,                 1.5231,                 2.1788,             0.00096068,             0.00096068,             0.00096068
                     43,                 1.5952,                   4.52,                0.33983,                 1.6567,                 1.8363,                0.44021,                0.57854,                0.42234,                0.24829,                0.39237,                 0.4645,                 0.3727,                 0.1814,                 1.5666,                 4.0675,                0.16054,                 1.5695,                 2.1308,             0.00095702,             0.00095702,             0.00095702
                     44,                 1.6054,                 4.5169,                0.33644,                 1.5751,                 1.8219,                0.61174,                0.57359,                0.47865,                0.27354,                0.55482,                0.48041,                0.42935,                0.23454,                 1.6742,                 4.1839,                0.16336,                 1.6113,                 2.1626,             0.00095335,             0.00095335,             0.00095335
                     45,                 1.5971,                  4.405,                0.32821,                 1.5877,                 1.8273,                0.43975,                0.59815,                0.49991,                0.29989,                0.49653,                0.54256,                0.43384,                0.20227,                 1.6388,                 4.0039,                0.16028,                 1.6027,                  2.141,             0.00094968,             0.00094968,             0.00094968
                     46,                  1.633,                 4.5294,                 0.3317,                 1.5743,                 1.8487,                0.54281,                 0.5903,                0.51744,                0.28347,                 0.6806,                0.49505,                0.50005,                0.22727,                  1.609,                 3.9083,                0.18048,                 1.5701,                 2.1677,             0.00094602,             0.00094602,             0.00094602
                     47,                 1.6285,                 4.4578,                 0.3268,                 1.5902,                 1.8504,                0.47804,                 0.5536,                0.48346,                 0.2494,                 0.7107,                0.40849,                 0.3846,                0.17811,                 1.7427,                 4.0465,                0.18158,                 1.6382,                 2.2492,             0.00094235,             0.00094235,             0.00094235
                     48,                 1.6072,                 4.5035,                0.34134,                 1.5806,                 1.8375,                0.48719,                0.55154,                0.46992,                0.26321,                0.46877,                0.53871,                0.42028,                0.19143,                 1.7107,                 4.1479,                0.16955,                 1.6505,                 2.2157,             0.00093868,             0.00093868,             0.00093868
                     49,                 1.5826,                 4.4811,                0.33913,                 1.5839,                 1.8143,                0.38332,                0.58972,                0.43046,                0.25193,                0.40486,                 0.5145,                0.38742,                 0.1893,                 1.6256,                 3.9745,                0.17591,                 1.6046,                 2.1947,             0.00093502,             0.00093502,             0.00093502
                     50,                 1.6016,                 4.2622,                0.32353,                 1.5436,                 1.8202,                0.50639,                0.55995,                0.49312,                0.28488,                 0.7054,                0.42813,                 0.4765,                 0.2312,                 1.5548,                  3.806,                0.18399,                 1.5778,                 2.0687,             0.00093135,             0.00093135,             0.00093135
                     51,                 1.6046,                 4.2757,                0.32206,                 1.5444,                 1.8101,                0.57162,                0.63985,                0.50204,                0.27744,                0.63317,                 0.5583,                0.51693,                0.25543,                 1.5186,                 3.6763,                0.17131,                 1.5471,                 2.0339,             0.00092769,             0.00092769,             0.00092769
                     52,                  1.578,                 4.3853,                0.31625,                 1.5098,                 1.8211,                 0.5003,                0.57813,                 0.4667,                0.29104,                0.51368,                0.53682,                0.47194,                 0.2402,                 1.6359,                 3.7179,                0.15921,                 1.5092,                 2.1326,             0.00092402,             0.00092402,             0.00092402
                     53,                 1.5794,                 4.3309,                 0.3279,                 1.5324,                  1.816,                0.65287,                0.56717,                0.47252,                0.26974,                 0.6514,                0.49859,                0.49405,                0.27124,                 1.7054,                 3.6044,                  0.171,                 1.6206,                  2.182,             0.00092035,             0.00092035,             0.00092035
                     54,                 1.5511,                 4.0805,                0.31741,                 1.4958,                 1.7893,                0.49142,                0.57769,                0.48004,                0.27678,                0.54775,                0.50768,                0.51061,                0.28668,                 1.6437,                 3.6506,                0.16033,                 1.5672,                 2.1622,             0.00091669,             0.00091669,             0.00091669
                     55,                 1.5578,                 3.9749,                0.30955,                 1.5004,                 1.7994,                0.51791,                0.56035,                0.46727,                0.28866,                0.59942,                0.47359,                0.43489,                0.27083,                 1.7293,                 3.7695,                0.17914,                 1.5627,                 2.2248,             0.00091302,             0.00091302,             0.00091302
                     56,                 1.5761,                 4.1824,                0.31362,                 1.5201,                 1.7878,                 0.5173,                0.58943,                0.46644,                0.26092,                0.57331,                0.50086,                0.39789,                0.17255,                 1.6509,                  3.787,                0.14566,                 1.5818,                  2.222,             0.00090935,             0.00090935,             0.00090935
                     57,                 1.5669,                 4.0968,                0.31026,                 1.5002,                 1.7731,                0.57638,                0.57813,                0.49594,                0.29646,                0.56132,                0.52586,                 0.4902,                0.27586,                 1.5831,                 3.5066,                0.15192,                 1.4911,                 2.0646,             0.00090569,             0.00090569,             0.00090569
                     58,                 1.5237,                 4.1501,                0.31978,                  1.513,                 1.7807,                0.57192,                0.55294,                0.45796,                0.27058,                0.55573,                 0.5365,                0.46179,                0.26373,                 1.6481,                 3.6617,                0.16192,                 1.4509,                 2.1435,             0.00090202,             0.00090202,             0.00090202
                     59,                 1.5669,                 4.1341,                0.31172,                 1.5032,                 1.8082,                0.57637,                0.51041,                0.47575,                0.27351,                0.65545,                0.55693,                0.52086,                0.27009,                 1.6809,                 3.4313,                0.16102,                 1.5126,                 2.2237,             0.00089835,             0.00089835,             0.00089835
                     60,                 1.5455,                 3.9293,                0.31944,                 1.4746,                 1.7929,                0.58498,                0.60808,                0.45935,                0.29297,                0.57721,                0.54859,                 0.4586,                0.25948,                 1.6159,                  3.391,                0.14425,                  1.446,                 2.0919,             0.00089469,             0.00089469,             0.00089469
                     61,                 1.5062,                 3.8674,                0.31217,                  1.445,                 1.7606,                0.63923,                0.58975,                0.51696,                0.27682,                 0.6214,                0.55995,                0.53403,                0.27278,                 1.5566,                 3.3456,                0.18365,                 1.5458,                  2.074,             0.00089102,             0.00089102,             0.00089102
                     62,                 1.5178,                 3.8676,                0.31132,                  1.486,                 1.7562,                0.55337,                0.56904,                0.45058,                0.26757,                 0.7476,                0.43682,                 0.4705,                0.28736,                 1.5728,                 3.4218,                0.15808,                 1.5609,                 2.0534,             0.00088736,             0.00088736,             0.00088736
                     63,                 1.5433,                 4.0096,                0.30962,                 1.4892,                   1.78,                0.56288,                0.61854,                0.50385,                0.29266,                0.52601,                0.49997,                0.45261,                0.28015,                 1.6289,                  3.417,                0.14765,                 1.4735,                 2.1423,             0.00088369,             0.00088369,             0.00088369
                     64,                 1.5445,                 3.9798,                0.30571,                 1.4608,                 1.7732,                0.46057,                0.60657,                0.47461,                0.29337,                0.57217,                0.53041,                 0.5314,                0.31263,                 1.6453,                 3.4776,                0.15378,                 1.5554,                 2.1221,             0.00088002,             0.00088002,             0.00088002
                     65,                 1.5243,                 3.7977,                0.31004,                  1.509,                  1.745,                0.45593,                0.56557,                0.50439,                0.29745,                 0.5386,                0.55842,                0.55548,                0.33718,                 1.7134,                 3.3855,                0.14114,                  1.507,                 2.1907,             0.00087636,             0.00087636,             0.00087636
                     66,                 1.5076,                 3.8433,                0.30325,                 1.4549,                 1.7317,                0.64606,                0.52279,                 0.5057,                0.29281,                0.67412,                0.53268,                0.49538,                 0.3071,                 1.6595,                 3.2807,                0.13817,                 1.5008,                 2.1209,             0.00087269,             0.00087269,             0.00087269
                     67,                 1.5354,                 3.9286,                0.30559,                 1.4683,                 1.7888,                0.51995,                0.59632,                0.46164,                0.29749,                0.68152,                 0.5661,                0.49584,                0.30167,                 1.6865,                 3.5436,                  0.134,                 1.5201,                 2.1757,             0.00086902,             0.00086902,             0.00086902
                     68,                 1.5057,                 3.7984,                0.30192,                 1.4312,                 1.7209,                0.47977,                0.57854,                0.48425,                0.27005,                0.78658,                0.52514,                0.52039,                0.31452,                 1.6271,                 3.4727,                0.13227,                 1.5254,                 2.1452,             0.00086536,             0.00086536,             0.00086536
                     69,                 1.5036,                 3.7663,                0.29472,                 1.4569,                 1.7274,                0.57649,                0.55602,                0.44066,                0.25769,                0.65693,                0.41223,                0.45764,                 0.2939,                  1.744,                  3.421,                0.13484,                 1.4612,                 2.2342,             0.00086169,             0.00086169,             0.00086169
                     70,                 1.4666,                 3.6734,                 0.2943,                 1.4405,                 1.7112,                 0.5287,                0.58708,                0.47076,                0.27989,                0.70247,                0.54859,                0.53427,                0.29621,                 1.6163,                 3.4852,                0.13863,                 1.4984,                 2.1681,             0.00085803,             0.00085803,             0.00085803
                     71,                 1.5153,                 3.7432,                0.29215,                 1.4181,                 1.7499,                0.55913,                 0.5993,                0.50804,                0.29464,                0.51828,                0.55851,                0.47451,                0.26185,                 1.5975,                 3.3899,                0.13633,                 1.5064,                 2.1025,             0.00085436,             0.00085436,             0.00085436
                     72,                 1.4901,                 3.7073,                0.28889,                 1.4273,                 1.7313,                0.54109,                0.59859,                0.47709,                0.30239,                0.55323,                0.60541,                0.53337,                0.28971,                 1.6392,                 3.4165,                0.13586,                 1.5032,                 2.1296,             0.00085069,             0.00085069,             0.00085069
                     73,                  1.496,                 3.8065,                 0.3086,                 1.4451,                 1.7224,                0.55571,                 0.5059,                0.48201,                0.30203,                0.61709,                0.58906,                0.52965,                0.33694,                  1.533,                 3.4024,                0.14224,                  1.537,                 2.0849,             0.00084703,             0.00084703,             0.00084703
                     74,                 1.4941,                 3.6298,                  0.287,                 1.4196,                 1.7327,                 0.6344,                0.49432,                0.52422,                0.30458,                0.62471,                0.53588,                0.52337,                0.31314,                 1.5901,                 3.4022,                0.14039,                 1.4545,                 2.0704,             0.00084336,             0.00084336,             0.00084336
                     75,                 1.4831,                 3.6263,                0.29012,                 1.4077,                 1.7161,                0.52418,                0.58185,                0.55718,                 0.3204,                0.42364,                0.59276,                0.50673,                0.32005,                 1.6203,                 3.2868,                0.12749,                  1.441,                 2.0997,             0.00083969,             0.00083969,             0.00083969
                     76,                 1.5159,                 3.8056,                 0.2898,                 1.4555,                  1.733,                0.59203,                0.56189,                0.51447,                0.28843,                0.70619,                0.50313,                0.54127,                0.33283,                 1.6447,                  3.341,                0.12548,                 1.4845,                  2.145,             0.00083603,             0.00083603,             0.00083603
                     77,                 1.4592,                 3.5165,                0.29373,                 1.3912,                 1.7134,                0.60891,                0.50503,                0.49891,                  0.293,                0.62441,                0.54178,                0.48762,                0.29755,                 1.6694,                 3.4852,                0.12673,                 1.4794,                 2.1376,             0.00083236,             0.00083236,             0.00083236
                     78,                 1.4467,                 3.5614,                0.28949,                 1.3849,                 1.6919,                0.54188,                0.57813,                 0.5082,                0.31092,                0.73123,                 0.4895,                0.52731,                0.28579,                 1.6041,                 3.5708,                0.13164,                 1.5083,                 2.0436,             0.00082869,             0.00082869,             0.00082869
                     79,                 1.4721,                 3.8074,                 0.2991,                 1.3704,                 1.7272,                0.65309,                0.54739,                0.54655,                 0.2889,                0.65244,                0.55541,                0.55932,                0.32762,                 1.6022,                 3.2416,                0.13054,                 1.5101,                  2.095,             0.00082503,             0.00082503,             0.00082503
                     80,                 1.4824,                 3.5904,                0.28487,                 1.4171,                 1.7224,                0.67034,                0.47817,                0.50986,                0.30794,                0.74143,                0.54505,                0.56456,                0.37103,                 1.5365,                 3.2458,                 0.1294,                 1.4835,                 2.0902,             0.00082136,             0.00082136,             0.00082136
                     81,                 1.4796,                  3.675,                0.29073,                 1.3949,                  1.733,                 0.5789,                0.60541,                  0.536,                0.30556,                0.65005,                0.52359,                0.51866,                0.32235,                 1.6294,                 3.2938,                0.12559,                 1.3655,                 2.1518,              0.0008177,              0.0008177,              0.0008177
                     82,                  1.436,                 3.4569,                0.28466,                 1.3779,                 1.6893,                0.57307,                0.51819,                0.54558,                0.30661,                 0.6047,                 0.5395,                0.54533,                0.33797,                 1.6615,                 3.2824,                0.13011,                 1.4435,                 2.1404,             0.00081403,             0.00081403,             0.00081403
                     83,                 1.4733,                 3.5139,                0.28318,                 1.3432,                 1.7132,                0.54347,                0.60541,                0.50474,                0.30554,                0.63286,                0.57067,                0.54359,                0.32422,                 1.5285,                 3.3233,                0.13088,                 1.4824,                 2.0174,             0.00081036,             0.00081036,             0.00081036
                     84,                 1.4457,                 3.5089,                0.28422,                 1.3458,                 1.6822,                0.48659,                0.66263,                0.52885,                0.30599,                0.60861,                0.56223,                0.52738,                0.32899,                 1.5775,                 3.4001,                0.12339,                 1.4216,                 2.0738,              0.0008067,              0.0008067,              0.0008067
                     85,                 1.4226,                 3.5414,                0.28089,                 1.3571,                 1.6712,                0.68571,                 0.6145,                0.53818,                 0.2819,                0.63117,                0.58268,                0.54699,                0.31618,                 1.6026,                 3.1286,                   0.12,                 1.4949,                 2.0828,             0.00080303,             0.00080303,             0.00080303
                     86,                 1.4632,                  3.533,                0.28603,                 1.3623,                 1.6914,                0.64683,                0.50755,                0.52103,                0.30412,                0.74386,                0.57359,                0.55519,                0.33908,                 1.6571,                 3.0282,                0.12109,                 1.4458,                 2.1138,             0.00079936,             0.00079936,             0.00079936
                     87,                 1.4519,                 3.5326,                0.28543,                 1.3987,                 1.6949,                 0.5872,                0.60167,                0.49854,                0.29204,                0.67033,                0.53685,                0.53814,                0.34012,                 1.6119,                 3.3053,                0.12411,                 1.4453,                  2.091,              0.0007957,              0.0007957,              0.0007957
                     88,                 1.4277,                 3.3468,                0.28694,                 1.3472,                  1.677,                0.49263,                0.58093,                0.52708,                0.31089,                0.60474,                0.55767,                0.59003,                0.36265,                 1.5932,                 3.1828,                0.12406,                 1.4913,                 2.0423,             0.00079203,             0.00079203,             0.00079203
                     89,                  1.419,                 3.3325,                0.28541,                 1.3357,                 1.6578,                0.58896,                0.64811,                0.51591,                0.32115,                0.69473,                0.57917,                0.56784,                0.36163,                 1.5935,                 3.2026,                0.12469,                 1.4408,                  2.033,             0.00078837,             0.00078837,             0.00078837
                     90,                 1.4255,                 3.4516,                0.28347,                 1.3401,                 1.6707,                0.72344,                0.57255,                0.59971,                0.29782,                0.71023,                0.56613,                0.56667,                0.34227,                 1.6853,                    3.3,                0.14326,                 1.4195,                 2.1682,              0.0007847,              0.0007847,              0.0007847
                     91,                 1.4313,                 3.4659,                0.28777,                 1.3551,                 1.6744,                0.54946,                0.61717,                0.53095,                0.30607,                0.50252,                0.55357,                0.50421,                0.30664,                 1.6145,                 3.4553,                0.14655,                 1.4385,                  2.122,             0.00078103,             0.00078103,             0.00078103
                     92,                 1.4316,                 3.4179,                0.28693,                 1.3607,                 1.6682,                0.52448,                0.63453,                0.46702,                0.29915,                0.64621,                0.51805,                0.53812,                0.35901,                 1.5768,                 3.1105,                0.12386,                   1.41,                 2.0584,             0.00077737,             0.00077737,             0.00077737
                     93,                 1.4417,                 3.4185,                0.28249,                 1.3296,                   1.68,                0.55148,                0.61717,                0.54463,                0.31815,                0.70629,                0.55287,                0.58286,                 0.3625,                 1.5617,                  3.105,                0.12181,                 1.5214,                  2.077,              0.0007737,              0.0007737,              0.0007737
                     94,                 1.4075,                 3.3709,                0.27711,                 1.3361,                 1.6461,                0.61086,                0.57813,                0.52095,                0.32342,                0.59294,                0.55995,                0.56092,                0.35222,                 1.5357,                 3.2609,                0.13305,                 1.4455,                 2.0285,             0.00077003,             0.00077003,             0.00077003
                     95,                 1.4384,                 3.3338,                0.28016,                 1.3365,                 1.6765,                0.64541,                0.57586,                0.52782,                0.30065,                0.71384,                0.58122,                0.59082,                0.33624,                 1.6627,                 3.1804,                0.12794,                 1.4321,                 2.1348,             0.00076637,             0.00076637,             0.00076637
                     96,                 1.4289,                 3.3621,                0.27124,                 1.3426,                 1.6592,                0.76797,                0.57859,                0.59887,                0.32648,                0.72182,                0.54023,                0.54373,                0.32556,                 1.5365,                 3.2066,                0.11807,                 1.4733,                  2.039,              0.0007627,              0.0007627,              0.0007627
