                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0784,                 8.8142,                0.70958,                 4.5396,                 4.1698,                0.00184,                0.15765,                 0.0177,                0.00831,                      0,                      0,                      0,                      0,                  2.862,                 8.6854,                0.69041,                 4.4634,                 4.0418,             0.00036497,             0.00036497,             0.00036497
                      2,                 3.6105,                 8.8609,                0.67829,                  4.105,                 3.8548,                0.60107,                    0.2,                0.01217,                0.00327,                  3e-05,                0.00455,                  2e-05,                      0,                 3.5333,                 9.0767,                 0.6818,                 11.249,                 4.0915,             0.00073287,             0.00073287,             0.00073287
                      3,                 3.3654,                 8.3202,                0.62089,                 3.5948,                 3.3356,                0.80641,                0.11765,                0.01315,                0.00286,                  7e-05,                0.01364,                 0.0001,                  2e-05,                 3.1198,                 8.6455,                0.47346,                 5.1559,                 3.5932,              0.0010983,              0.0010983,              0.0010983
                      4,                 3.0654,                 8.1607,                0.58248,                 3.4078,                 3.0358,                0.00332,                0.63485,                0.04417,                0.00688,                0.00116,                0.10859,                0.00195,                0.00044,                 2.7167,                 7.8042,                0.44002,                  3.909,                 3.0326,                 0.0011,                 0.0011,                 0.0011
                      5,                 2.8181,                 7.9344,                0.56829,                 3.1835,                 2.8632,                 0.7178,                  0.173,                0.08572,                 0.0209,                 0.6444,                 0.0454,                0.01358,                0.00315,                 2.5794,                 7.2552,                0.35362,                 3.7007,                 2.8824,              0.0010963,              0.0010963,              0.0010963
                      6,                 2.6106,                 7.7978,                0.56468,                 3.0273,                 2.7249,                0.78347,                0.27834,                0.27551,                 0.0716,                 0.6589,                0.07273,                0.03326,                0.00959,                 2.3777,                  6.838,                0.31708,                 2.8068,                 2.7876,              0.0010927,              0.0010927,              0.0010927
                      7,                 2.4498,                 7.5435,                0.55516,                 2.8091,                 2.6048,                0.57776,                0.29733,                 0.2876,                0.11513,                0.85535,                0.04091,                0.02945,                0.00543,                 2.2602,                 7.5917,                0.36935,                 2.5785,                 2.7222,               0.001089,               0.001089,               0.001089
                      8,                 2.4285,                  7.428,                0.52666,                 2.7319,                 2.5275,                 0.7802,                0.37552,                0.39143,                0.14076,                 0.5375,                0.07273,                0.07177,                0.03437,                 2.5355,                 7.0967,                0.31023,                 2.9845,                 2.9727,              0.0010853,              0.0010853,              0.0010853
                      9,                 2.2722,                 7.1975,                0.51601,                 2.5548,                 2.4336,                0.78395,                0.38209,                0.32308,                0.13926,                0.73641,                0.07273,                0.05915,                0.02691,                 2.2366,                 6.5735,                0.31773,                 2.4736,                 2.7147,              0.0010817,              0.0010817,              0.0010817
                     10,                 2.1872,                 6.8836,                0.47542,                  2.459,                 2.3982,                0.50135,                0.41944,                0.42537,                0.17747,                0.53487,                0.07273,                  0.058,                0.03539,                 1.9814,                 6.4245,                0.28261,                  2.875,                 2.5791,               0.001078,               0.001078,               0.001078
                     11,                 2.1348,                 6.9791,                0.47199,                 2.4008,                 2.3742,                0.52433,                0.42687,                0.39854,                0.22289,                 0.9392,                0.09091,                0.09049,                0.05404,                 1.9128,                 6.3068,                0.27649,                 2.0409,                 2.4998,              0.0010743,              0.0010743,              0.0010743
                     12,                 2.1027,                 6.7646,                0.46948,                 2.3382,                 2.3034,                 0.7908,                0.34837,                0.39184,                0.18074,                0.31576,                0.12172,                0.08114,                0.05419,                  1.937,                 6.4741,                0.27512,                 2.4612,                 2.5417,              0.0010707,              0.0010707,              0.0010707
                     13,                 2.0649,                 6.6504,                0.45321,                 2.2985,                 2.2792,                0.66235,                0.46347,                  0.383,                0.18044,                0.31867,                0.09091,                 0.1105,                0.06868,                 2.0836,                 6.0032,                0.24714,                 2.4367,                 2.6071,               0.001067,               0.001067,               0.001067
                     14,                 2.0416,                 6.5973,                0.43184,                 2.2104,                  2.237,                0.48351,                0.49701,                0.43314,                0.20675,                0.53838,                0.09545,                0.08486,                0.05026,                 2.0068,                 6.0564,                0.23523,                 2.0765,                 2.5758,              0.0010633,              0.0010633,              0.0010633
                     15,                 1.9902,                 6.4967,                0.42501,                 2.1455,                 2.2031,                 0.6972,                0.39452,                0.39718,                0.20456,                0.27513,                0.14444,                0.10451,                0.05338,                 1.8685,                 6.0874,                0.21303,                 2.3563,                 2.4029,              0.0010597,              0.0010597,              0.0010597
                     16,                 1.9734,                 6.4816,                0.42306,                 2.1288,                 2.1875,                  0.725,                0.46136,                0.34875,                0.19666,                0.52869,                0.09026,                 0.0688,                0.03859,                 1.8452,                  6.394,                0.24302,                 2.4242,                 2.3653,               0.001056,               0.001056,               0.001056
                     17,                 1.9305,                 6.3658,                0.40994,                 2.0823,                 2.1493,                0.68601,                0.45334,                 0.3667,                 0.1801,                0.54096,                0.09545,                0.10097,                0.06068,                  1.975,                 5.9232,                0.23585,                 2.0578,                 2.4816,              0.0010523,              0.0010523,              0.0010523
                     18,                 1.9135,                 6.1331,                0.40042,                 2.0287,                 2.1446,                 0.5514,                0.44441,                0.47752,                0.21391,                0.64147,                0.10909,                0.09432,                0.05161,                 1.8651,                 6.0177,                0.20605,                 2.1871,                 2.4314,              0.0010487,              0.0010487,              0.0010487
                     19,                 1.9038,                 6.1858,                0.39759,                 2.1088,                  2.124,                0.37724,                0.54571,                0.41538,                0.22517,                0.21024,                0.15354,                0.10112,                0.06558,                 1.7935,                 5.8522,                 0.2354,                 1.8867,                 2.3401,               0.001045,               0.001045,               0.001045
                     20,                 1.8456,                 5.9254,                0.38265,                 1.9414,                 2.0791,                0.79511,                0.49556,                 0.4295,                0.21925,                0.54035,                    0.1,                0.11344,                0.06645,                 1.7881,                 5.5699,                0.21029,                 1.9418,                 2.2955,              0.0010413,              0.0010413,              0.0010413
                     21,                 1.8872,                 6.0428,                0.39456,                 1.9541,                  2.081,                0.77139,                0.39743,                0.47681,                0.22738,                 0.2051,                0.16706,                0.12269,                0.05709,                 1.8235,                 5.7898,                0.20162,                 1.8597,                 2.2967,              0.0010377,              0.0010377,              0.0010377
                     22,                 1.8493,                  5.808,                0.38903,                 1.9255,                 2.0639,                0.61652,                0.54632,                0.44056,                 0.2467,                0.20357,                0.16985,                0.11745,                0.07255,                   1.71,                 5.3734,                0.21613,                 1.7625,                 2.2021,               0.001034,               0.001034,               0.001034
                     23,                 1.8071,                 5.8121,                0.38784,                 1.8547,                 2.0274,                0.70085,                  0.475,                 0.3886,                0.22652,                0.18449,                0.17336,                0.10771,                0.07102,                 1.6494,                 5.4406,                0.21389,                 1.7985,                 2.2009,              0.0010303,              0.0010303,              0.0010303
                     24,                 1.7816,                 5.7422,                0.39552,                 1.8442,                 2.0226,                0.45841,                0.57626,                0.37257,                0.22761,                0.29899,                0.16717,                 0.1223,                0.08573,                 1.6989,                 5.4261,                0.20126,                  1.826,                 2.2418,              0.0010267,              0.0010267,              0.0010267
                     25,                  1.819,                 5.7397,                0.39121,                 1.9158,                 2.0314,                0.41432,                 0.5604,                 0.4285,                0.21553,                0.27292,                0.18161,                0.11895,                0.07742,                 1.9623,                 5.2146,                  0.243,                 1.9081,                  2.496,               0.001023,               0.001023,               0.001023
                     26,                 1.7673,                 5.6589,                0.37696,                 1.8098,                 1.9946,                0.73939,                0.46908,                0.44807,                0.25034,                0.30225,                0.28896,                0.13971,                0.08097,                  1.735,                 4.8377,                0.21139,                 2.0469,                 2.2041,              0.0010193,              0.0010193,              0.0010193
                     27,                 1.7228,                  5.518,                 0.3881,                  1.821,                 1.9461,                0.46019,                0.47474,                0.37316,                0.22485,                0.26364,                0.16263,                0.11134,                0.06566,                 1.7107,                 5.3307,                0.19278,                 1.7572,                 2.2378,              0.0010157,              0.0010157,              0.0010157
                     28,                 1.7642,                 5.3033,                0.35921,                 1.8018,                 1.9809,                0.44939,                0.53693,                0.42876,                0.25157,                0.30114,                0.32305,                0.19873,                 0.0929,                  1.696,                 4.8065,                0.21478,                 1.7255,                 2.2469,               0.001012,               0.001012,               0.001012
                     29,                 1.7762,                 5.4329,                0.37954,                 1.7902,                 1.9785,                 0.4255,                0.57359,                0.41478,                0.26297,                0.26684,                0.21717,                0.12906,                0.08565,                 1.5988,                 5.2006,                0.18947,                 1.7222,                 2.1043,              0.0010083,              0.0010083,              0.0010083
                     30,                 1.7246,                 5.3758,                0.37143,                 1.7676,                 1.9408,                0.51486,                0.54283,                0.48659,                0.26332,                0.31877,                0.26156,                0.16844,                0.09666,                 1.6348,                 4.9318,                0.19254,                 1.7654,                 2.1587,              0.0010047,              0.0010047,              0.0010047
                     31,                 1.7127,                 5.2467,                0.36967,                 1.7513,                 1.9404,                0.31227,                0.52586,                0.40109,                0.24121,                0.50251,                0.27078,                0.19347,                0.09694,                 1.6043,                  4.909,                0.18619,                 1.7618,                 2.1811,               0.001001,               0.001001,               0.001001
                     32,                 1.6973,                 5.0764,                0.36623,                 1.6583,                 1.9304,                0.45131,                0.57114,                0.46166,                0.27628,                 0.2539,                0.29445,                 0.1777,                0.07885,                 1.6362,                 4.7744,                0.22763,                 1.6505,                 2.1362,             0.00099734,             0.00099734,             0.00099734
