                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.979,                 8.7664,                0.69693,                 4.6068,                  4.124,                0.00111,                0.42465,                0.01325,                0.00292,                0.00033,                0.09722,                0.00067,                0.00014,                  2.971,                 8.4398,                0.64357,                 4.8151,                 3.9537,             0.00033038,             0.00033038,             0.00033038
                      2,                 2.7969,                 8.0652,                0.56988,                 4.1845,                 3.4931,                0.85077,                0.04167,                0.01347,                 0.0047,                0.83534,                0.01389,                0.00061,                0.00015,                 2.7894,                 8.3074,                0.42832,                 7.1026,                 3.3698,             0.00059801,             0.00059801,             0.00059801
                      3,                 2.6182,                 7.6952,                0.44241,                 3.8224,                 3.0816,                 0.2024,                 0.3304,                0.03454,                0.01267,                0.16881,                0.04861,                 0.0015,                0.00046,                 2.4581,                 7.6722,                0.29431,                 5.3527,                 3.1347,             0.00079963,             0.00079963,             0.00079963
                      4,                 2.4989,                 7.4688,                0.35491,                   3.54,                 2.8961,                0.24072,                0.11319,                0.07734,                 0.0283,                0.22167,                0.06667,                0.02558,                0.00741,                 2.3557,                 6.9478,                0.26914,                 3.4669,                 2.8836,               0.000703,               0.000703,               0.000703
                      5,                 2.3634,                  7.156,                0.31097,                 3.2451,                 2.7518,                0.40974,                0.17083,                0.10406,                0.04163,                0.38885,                0.05208,                0.03643,                0.02089,                  2.273,                 6.6997,                 0.2172,                 3.2242,                 2.8232,               0.000604,               0.000604,               0.000604
                      6,                 2.2872,                 6.8243,                0.26897,                 3.0005,                 2.6585,                0.42958,                0.17014,                0.17664,                0.07428,                0.76152,                0.09028,                0.06655,                0.03749,                 2.2124,                 6.1139,                0.18101,                  2.907,                 2.5953,               0.000505,               0.000505,               0.000505
                      7,                 2.2263,                 6.4583,                0.25098,                 2.8376,                 2.6035,                0.53058,                 0.2926,                0.22134,                 0.0949,                0.41119,                0.11111,                0.09115,                0.05654,                 2.1678,                  5.955,                0.18056,                 2.8458,                 2.5811,               0.000406,               0.000406,               0.000406
                      8,                 2.1315,                 6.1205,                0.23402,                 2.6345,                 2.5158,                 0.5745,                0.36944,                0.33991,                0.15704,                0.43178,                0.12153,                0.10614,                0.05918,                 2.0324,                 5.4525,                0.15048,                 2.5627,                 2.4392,               0.000307,               0.000307,               0.000307
                      9,                 2.0863,                 5.9091,                0.23856,                 2.4757,                 2.4648,                0.36376,                0.52797,                0.41435,                0.18135,                0.16392,                0.31944,                 0.2169,                0.07457,                 2.0604,                 5.1156,                0.12346,                 2.3466,                 2.4361,               0.000208,               0.000208,               0.000208
                     10,                 2.0262,                 5.6291,                0.22058,                 2.3882,                  2.403,                0.28106,                0.48472,                0.41875,                0.16661,                0.22691,                0.28325,                0.24842,                0.09044,                 2.0168,                 4.9813,                0.12976,                 2.3343,                 2.3847,               0.000109,               0.000109,               0.000109
