                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.7344,                 3.5706,                0.20773,                 2.0715,                 2.1191,                0.44948,                0.79481,                 0.5528,                0.26709,                0.46134,                0.72933,                 0.5645,                0.35976,                 1.7702,                 2.1885,                0.05918,                 1.6455,                 2.4161,             0.00048025,             0.00048025,             0.00048025
                     23,                 1.6979,                 3.4555,                0.21296,                  2.026,                  2.109,                 0.4232,                0.77083,                0.51047,                0.25671,                0.40434,                0.72049,                0.53253,                0.34487,                 1.7806,                 2.1347,                0.05194,                  1.629,                 2.4327,              0.0004555,              0.0004555,              0.0004555
                     24,                 1.6999,                 3.5119,                0.20657,                 2.0338,                  2.094,                0.41214,                0.74118,                0.53076,                0.28254,                0.40778,                0.71771,                0.57515,                0.37656,                 1.6818,                  2.146,                0.05788,                 1.5699,                 2.3442,             0.00043075,             0.00043075,             0.00043075
                     25,                 1.6996,                 3.5278,                0.21315,                 2.0137,                 2.0852,                0.38935,                0.77512,                0.49296,                0.25156,                0.40682,                0.72537,                 0.5672,                 0.3649,                 1.7905,                 2.0997,                0.05848,                 1.6349,                 2.4071,               0.000406,               0.000406,               0.000406
                     26,                  1.702,                 3.5398,                0.20321,                 2.0159,                 2.0922,                0.40912,                0.73889,                0.50744,                0.25504,                0.41218,                0.64687,                0.54293,                0.32576,                 1.7506,                 2.1365,                0.05287,                 1.6235,                 2.4038,             0.00038125,             0.00038125,             0.00038125
                     27,                 1.6863,                 3.3378,                0.19992,                 1.9729,                 2.0791,                0.40806,                0.80977,                0.53308,                0.25036,                0.40725,                0.69283,                0.56036,                0.36237,                 1.7783,                 2.1158,                0.05183,                 1.6586,                  2.419,              0.0003565,              0.0003565,              0.0003565
                     28,                 1.6712,                 3.4027,                0.20515,                 1.9655,                 2.0891,                0.43242,                0.78194,                0.54563,                0.27868,                0.43255,                0.72065,                 0.5827,                0.36703,                 1.7411,                 2.1173,                0.05446,                 1.6039,                 2.3801,             0.00033175,             0.00033175,             0.00033175
                     29,                 1.6903,                 3.4285,                0.20883,                 1.9973,                 2.0911,                0.42794,                0.73264,                0.53578,                0.26377,                0.42223,                0.67292,                 0.5475,                0.34184,                 1.7391,                 2.0743,                0.05202,                 1.5944,                 2.3917,               0.000307,               0.000307,               0.000307
                     30,                 1.6623,                 3.2833,                0.20163,                 1.9748,                 2.0675,                0.42164,                0.82674,                0.55349,                0.27237,                0.43809,                0.77192,                0.58187,                0.38138,                 1.7215,                 2.1672,                0.05063,                 1.6409,                 2.3522,             0.00028225,             0.00028225,             0.00028225
                     31,                 1.4851,                 2.3815,                0.10419,                 1.5714,                 2.0836,                0.36579,                0.72749,                0.49139,                0.24932,                0.38959,                0.65729,                0.54132,                0.34166,                 1.8047,                 2.1117,                 0.0441,                 1.6298,                 2.4416,              0.0002575,              0.0002575,              0.0002575
                     32,                 1.4473,                 2.3388,                0.09873,                 1.4508,                 2.0436,                0.41213,                0.76682,                0.53044,                0.27386,                0.38537,                0.70189,                 0.5569,                 0.3495,                 1.7503,                 2.1063,                0.04115,                 1.5646,                 2.4009,             0.00023275,             0.00023275,             0.00023275
                     33,                 1.4244,                 2.2254,                0.08767,                 1.4039,                 2.0323,                 0.4184,                0.81195,                0.54432,                0.27523,                0.39908,                0.75509,                0.54335,                0.34463,                  1.752,                 1.9546,                0.03341,                 1.5226,                 2.3847,               0.000208,               0.000208,               0.000208
                     34,                 1.4357,                 2.1785,                0.09132,                 1.3738,                 2.0356,                0.42351,                0.77092,                0.57055,                0.29134,                0.42615,                0.66737,                 0.5561,                0.35331,                 1.6748,                 1.9522,                0.03549,                 1.5031,                 2.3386,             0.00018325,             0.00018325,             0.00018325
                     35,                 1.4211,                 2.1828,                0.09711,                 1.3783,                 2.0253,                0.39691,                0.75956,                0.52717,                0.27332,                 0.4184,                  0.655,                0.55164,                0.35319,                 1.7468,                 1.9912,                0.03691,                   1.53,                 2.3941,              0.0001585,              0.0001585,              0.0001585
                     36,                 1.3933,                 2.0591,                0.08621,                 1.3453,                 2.0029,                0.40562,                0.76993,                 0.5425,                0.28215,                0.40654,                0.66425,                0.55512,                0.36369,                 1.7111,                 1.9519,                 0.0396,                 1.5355,                 2.3557,             0.00013375,             0.00013375,             0.00013375
                     37,                 1.3788,                 2.0731,                0.08787,                 1.3405,                 1.9746,                0.40756,                0.76849,                0.52971,                0.28734,                0.40786,                0.67873,                0.56682,                0.37444,                 1.6721,                 1.9446,                 0.0348,                 1.5118,                 2.3195,               0.000109,               0.000109,               0.000109
                     38,                 1.3784,                 2.0698,                0.08685,                 1.3307,                 1.9952,                0.38827,                0.80127,                0.53475,                0.29059,                0.38216,                0.59844,                0.55783,                0.37494,                 1.7032,                 1.9383,                 0.0362,                 1.5306,                 2.3611,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                 1.3747,                 1.9877,                0.08603,                 1.3296,                  1.981,                0.41232,                0.73547,                0.54594,                0.29256,                0.39519,                0.68819,                0.57221,                0.37487,                 1.6855,                 1.9157,                0.03635,                 1.4978,                 2.3517,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                 1.3901,                 1.9967,                0.08155,                 1.3263,                  1.986,                0.41047,                0.70772,                0.54855,                0.30844,                0.41621,                 0.6179,                 0.5754,                0.37638,                 1.6845,                 1.9104,                0.03466,                 1.4934,                 2.3525,              3.475e-05,              3.475e-05,              3.475e-05
