                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4652,                 8.2479,                0.69487,                 4.7738,                 4.1557,                 0.0012,                0.23785,                 0.0171,                0.00286,                      0,                      0,                      0,                      0,                 2.9688,                 8.9786,                0.67674,                 4.7692,                 3.9984,             0.00030029,             0.00030029,             0.00030029
                      2,                 3.2479,                 7.9928,                0.62737,                 4.2999,                 3.7164,                0.00155,                0.56219,                0.00346,                0.00092,                 0.0004,                   0.15,                0.00063,                0.00016,                 2.8498,                 8.6899,                0.38612,                 7.0805,                 3.6712,              0.0006013,              0.0006013,              0.0006013
                      3,                 2.9555,                 7.6488,                0.55735,                 4.0098,                 3.2785,                0.00264,                0.58128,                  0.018,                0.00558,                 0.0007,                0.12868,                0.00135,                0.00036,                  2.342,                 8.1133,                0.37994,                 4.0719,                 2.9931,             0.00090031,             0.00090031,             0.00090031
                      4,                 2.7773,                 7.4008,                0.50416,                 3.8134,                 3.0761,                0.67797,                0.09394,                0.02789,                0.00817,                0.85194,                0.03333,                0.00768,                0.00156,                 2.5637,                 7.4073,                0.37534,                 3.8544,                 3.0867,                 0.0009,                 0.0009,                 0.0009
                      5,                 2.6604,                 7.1228,                0.46275,                 3.5488,                 2.9369,                0.37044,                0.26373,                0.08527,                0.02362,                0.89063,                 0.0697,                0.04377,                0.02476,                 2.5963,                 7.3136,                0.31778,                 3.9257,                 3.0871,               0.000897,               0.000897,               0.000897
                      6,                 2.5351,                 6.8067,                0.43953,                 3.4076,                  2.856,                0.78921,                0.09545,                0.18062,                0.05464,                0.73865,                0.05531,                0.04537,                0.02196,                 2.2939,                 6.7023,                0.31793,                  3.043,                 2.9099,               0.000894,               0.000894,               0.000894
                      7,                 2.4085,                 6.6845,                0.41645,                 3.1983,                 2.7573,                0.42951,                0.23283,                0.15822,                0.06129,                0.72242,                0.08788,                0.05323,                0.02447,                 2.0974,                 6.6019,                0.25536,                 3.1952,                 2.7337,               0.000891,               0.000891,               0.000891
                      8,                 2.3024,                  6.437,                0.40018,                 3.0468,                 2.6802,                0.65697,                0.32267,                0.33547,                0.10371,                0.51362,                 0.1754,                0.13888,                0.05255,                 2.2328,                 6.0524,                0.24516,                 2.5935,                 2.8597,               0.000888,               0.000888,               0.000888
                      9,                  2.235,                 6.2105,                 0.3825,                 2.9028,                 2.5961,                 0.7423,                 0.2757,                0.29727,                0.11788,                0.10155,                0.19005,                0.10449,                0.04663,                 2.1186,                 5.8704,                 0.2039,                 3.3448,                 2.6936,               0.000885,               0.000885,               0.000885
                     10,                 2.1552,                 6.0989,                0.36745,                 2.7756,                 2.5236,                0.57857,                0.41228,                 0.3007,                0.09675,                0.54966,                0.25279,                0.20803,                0.06544,                 2.1032,                 5.7529,                0.19907,                 3.0185,                 2.6627,               0.000882,               0.000882,               0.000882
                     11,                 2.1136,                 6.0559,                0.36408,                 2.7446,                 2.5046,                0.63578,                0.42666,                0.43556,                0.16723,                0.55187,                0.26399,                 0.2327,                 0.0722,                 2.0332,                 5.5392,                0.20744,                 2.4252,                   2.57,               0.000879,               0.000879,               0.000879
                     12,                 2.0423,                 5.7812,                0.34276,                 2.6668,                 2.4079,                0.83604,                0.28644,                0.36652,                0.16935,                0.67942,                0.15793,                0.17713,                0.06046,                 1.9989,                 5.4611,                0.21435,                 2.5448,                 2.4556,               0.000876,               0.000876,               0.000876
                     13,                 2.0377,                  5.845,                0.34414,                 2.5988,                 2.4202,                0.52484,                0.43368,                0.35009,                0.14511,                0.46193,                 0.2067,                0.12163,                0.04136,                 2.0315,                 5.5215,                0.20547,                 2.4935,                 2.5228,               0.000873,               0.000873,               0.000873
                     14,                 2.0011,                 5.5209,                0.34006,                 2.5444,                 2.3464,                0.76995,                0.41534,                0.40079,                  0.177,                0.57445,                0.26696,                 0.2428,                0.12474,                 1.8502,                  5.254,                0.20962,                 2.3534,                 2.4417,                0.00087,                0.00087,                0.00087
                     15,                 1.9765,                 5.5639,                0.33696,                 2.4867,                 2.3117,                0.37567,                 0.4964,                0.32819,                0.15116,                0.10019,                0.27056,                0.14672,                0.07258,                 1.9335,                  5.174,                0.21856,                 2.2481,                  2.447,               0.000867,               0.000867,               0.000867
                     16,                 1.9599,                 5.3432,                0.32478,                 2.4263,                 2.3119,                0.56618,                0.36312,                0.30221,                0.14331,                 0.5329,                0.26391,                0.19794,                0.10162,                 1.9087,                 5.0159,                0.20874,                 2.2425,                 2.3783,               0.000864,               0.000864,               0.000864
                     17,                 1.9093,                 5.2791,                0.33153,                 2.3535,                 2.2635,                 0.7446,                0.31576,                 0.3564,                 0.1661,                0.69012,                0.21972,                0.19739,                0.08125,                 1.9473,                 5.0159,                0.19384,                  2.234,                 2.4772,               0.000861,               0.000861,               0.000861
