                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9496,                 3.4962,                 0.1628,                 1.9973,                 2.6503,                0.42175,                0.70972,                0.53263,                0.23234,                0.42358,                0.70486,                0.50751,                0.30563,                 1.7958,                 2.4002,                0.05767,                 1.7974,                 2.5333,             0.00033185,             0.00033185,             0.00033185
                      2,                 1.7201,                 2.9243,                0.12378,                  1.662,                 2.3391,                0.38166,                0.78469,                 0.4757,                0.23187,                0.37228,                0.71319,                0.45224,                0.26969,                 1.7442,                 2.3817,                0.05719,                 1.6829,                 2.4467,             0.00059933,             0.00059933,             0.00059933
                      3,                 1.6653,                 2.8202,                0.11022,                 1.6063,                 2.2777,                0.36301,                0.72201,                0.47597,                0.23178,                0.37175,                0.62713,                0.51554,                0.31138,                  1.722,                 2.3691,                0.05349,                 1.7357,                  2.438,             0.00080081,             0.00080081,             0.00080081
                      4,                  1.635,                  2.711,                0.11075,                 1.5464,                 2.2153,                0.35818,                0.54438,                0.50509,                0.24377,                0.38473,                 0.4985,                0.50023,                0.29258,                 1.7968,                 2.1891,                0.04738,                 1.6871,                 2.4606,               0.000703,               0.000703,               0.000703
