                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9496,                 3.4962,                 0.1628,                 1.9973,                 2.6503,                0.42175,                0.70972,                0.53263,                0.23234,                0.42358,                0.70486,                0.50751,                0.30563,                 1.7958,                 2.4002,                0.05767,                 1.7974,                 2.5333,             0.00033185,             0.00033185,             0.00033185
                      2,                 1.7201,                 2.9243,                0.12378,                  1.662,                 2.3391,                0.38166,                0.78469,                 0.4757,                0.23187,                0.37228,                0.71319,                0.45224,                0.26969,                 1.7442,                 2.3817,                0.05719,                 1.6829,                 2.4467,             0.00059933,             0.00059933,             0.00059933
                      3,                 1.6653,                 2.8202,                0.11022,                 1.6063,                 2.2777,                0.36301,                0.72201,                0.47597,                0.23178,                0.37175,                0.62713,                0.51554,                0.31138,                  1.722,                 2.3691,                0.05349,                 1.7357,                  2.438,             0.00080081,             0.00080081,             0.00080081
                      4,                  1.635,                  2.711,                0.11075,                 1.5464,                 2.2153,                0.35818,                0.54438,                0.50509,                0.24377,                0.38473,                 0.4985,                0.50023,                0.29258,                 1.7968,                 2.1891,                0.04738,                 1.6871,                 2.4606,               0.000703,               0.000703,               0.000703
                      5,                  1.625,                 2.5506,                0.10288,                 1.5145,                 2.1869,                0.42191,                 0.7059,                0.52914,                0.27554,                0.47591,                 0.5995,                0.56533,                0.36385,                 1.6718,                 2.1664,                0.05275,                 1.6704,                 2.3234,               0.000604,               0.000604,               0.000604
                      6,                   1.59,                 2.4266,                0.09716,                 1.4576,                 2.1591,                0.35254,                0.72639,                0.51956,                0.25583,                0.43526,                0.53154,                0.56268,                0.36254,                 1.7917,                 2.1319,                0.05013,                 1.6588,                 2.4301,               0.000505,               0.000505,               0.000505
                      7,                 1.5331,                 2.3045,                0.09129,                 1.4135,                 2.1081,                0.42201,                 0.7965,                0.54747,                0.28747,                0.40459,                0.82305,                 0.5469,                0.33371,                  1.694,                 2.1046,                0.05273,                 1.5866,                  2.369,               0.000406,               0.000406,               0.000406
                      8,                 1.5092,                 2.3129,                0.08765,                 1.3904,                 2.0722,                0.42112,                0.75627,                0.54938,                0.28662,                0.39614,                0.68472,                0.55797,                0.35855,                 1.6805,                 2.0902,                0.04612,                 1.5499,                 2.3432,               0.000307,               0.000307,               0.000307
                      9,                   1.52,                 2.2153,                0.09542,                 1.3747,                 2.0796,                0.41319,                 0.7559,                0.57889,                0.28475,                0.46289,                0.60096,                 0.5547,                0.35495,                 1.7019,                 1.9908,                0.04199,                 1.5924,                 2.3749,               0.000208,               0.000208,               0.000208
                     10,                  1.473,                  2.174,                0.08759,                 1.3568,                 2.0685,                0.43897,                0.74131,                0.55663,                 0.2939,                0.47505,                0.58437,                0.56923,                0.36786,                 1.6939,                 2.0185,                0.04135,                 1.5278,                 2.3616,               0.000109,               0.000109,               0.000109
